CID	Outcome	pIC50_CYP3A4	Molecular_Weight	QED	ADMET_Solubility	ADMET_BBB_Level	ADMET_EXT_CYP2D6 Inhibitor	Canonical_Smiles
54687455	None	4.5	444.43455	0.31164	-2.644	4		CN(C)C1[C@@H]2CC3C(=C(O)[C@]2(O)C(=C(C(=O)N)C1=O)O)C(=O)c4c(O)cccc4[C@@]3(C)O
54682830	None	4.5	250.24725	0.67618	-1.869	3	0	CC1OC=C2C(=C(C(=O)O)C(=O)C(=C2C1C)C)O
54677407	None	4.5	380.39059	0.86562	-5.437		0	COc1ccc(cc1)C2=C(O)Oc3cc4OC(C)(C)C=Cc4c(OC)c3C2=O
23713217	None	4.5	422.45543	0.28677	-0.213	4		CC(=O)OCC1=C(N2[C@@H](SC1)C(NC(=O)CSc3ccncc3)C2=O)C(=O)[O-]
23704140	None	4.5	525.65787	0.49893	-5.416	2	0	Cc1cc(C)c(NC(=O)C[C@H](CC(=O)[O-])c2cccc3ccccc23)c(c1)C(=O)N4CCC5(CCCC5)CC4
23684984	None	4.5	458.39853	0.42828	-3.94			CCCCCN(CCCCC)C(=O)[C@H](CCC(=O)[O-])NC(=O)c1ccc(Cl)c(Cl)c1
23684977	None	4.5	422.45543	0.28677	-0.213			CC(=O)OCC1=C(N2[C@@H](SC1)[C@H](NC(=O)CSc3ccncc3)C2=O)C(=O)[O-]
23677058	None	4.5	253.34058	0.46275	-3.556	2		CCCC(C)C1(CC=C)C(=O)NC(=NC1=O)[S-]
23669322	None	4.5	373.39967	0.55927	-5.547			Cc1c2C(=O)C(=O)c3c4CCCC(C)(C)c4ccc3c2oc1S(=O)(=O)[O-]
23665410	None	4.5	241.32988	0.60482	-3.54			CCCC(C)C1(CC)C(=O)NC(=NC1=O)[S-]
16759307	None	4.5	581.66149	0.43621	-5.312			CN1C[C@H](C=C2[C@@H]1Cc3c[nH]c4cccc2c34)C(=O)N[C@@]5(C)O[C@]6(O)C7CCCN7C(=O)[C@@H](Cc8ccccc8)N6C5=O
16759300	None	4.5	404.53964	0.64339	-4.843	2		CCC(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)C12
16759295	None	4.5	561.67185	0.52679	-5.879			CC(C)C1N2C(=O)[C@@](NC(=O)[C@H]3CN(C)[C@@H]4Cc5c[nH]c6cccc(C4=C3)c56)(O[C@@]2(O)C7CCCN7C1=O)C(C)C
16759291	None	4.5	292.28393	0.40996	-2.177		0	CC(=C)[C@@H]1[C@H]2OC(=O)C1[C@]3(O)C[C@H]4O[C@]45C(=O)O[C@H]2[C@]35C
16759263	None	4.5	444.60349	0.67511	-5.209	2		CC(=O)OC1CCC2(C)C3CCC4(C)C(CC5CCCCC45C(=O)C)C3CC(=O)[C@@]2(O)C1
16759262	None	4.5	232.3181	0.36346	-4.825		1	C[C@]12CCCC(=C)[C@@H]1CC3C(C2)OC(=O)C3=C
16759258	None	4.5	536.57627	0.48644	-5.213	4		CCN1C(=O)[C@@H]2CC3[C@@H]4[C@H]([C@@H](C)C5=C3[C@@H]([C@@H]2C1=O)[C@]6(C)N(C(=O)O/C/6=N\CC7CC7)C5=O)C(=O)N(CC)C4=O
16759256	None	4.5	425.84673	0.41159	-4.989			Nc1nc(O)c2nc(Sc3ccc(Cl)cc3)n(C4OC(CO)C(O)C4O)c2n1
16759247	None	4.5	288.42442	0.69417	-4.653	1		C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CCC2=O
16759180	None	4.5	328.4319	0.70708	-5.332	2		Cc1c(sc2nc3ccc(N)cc3n12)C(=O)NC4CCCCC4
16759176	None	4.5	322.21235	0.77368	-5.906		0	Nc1nc(c2ccc(Cl)c(Cl)c2)c(s1)c3ccncc3
16759172	None	4.5	159.18786	0.69477	-1.343	3		C(c1ccncc1)c2c[nH]cn2
